Date,Open,High,Low,Close,Volume,Adj Close,Returns
04-09-2012,1307.7,1307.7,1296.15,1302.85,122800,1200.22,-0.004406136
05-09-2012,1293.15,1305.65,1284.45,1301.55,161800,1199.02,-0.001000317
06-09-2012,1293.25,1342.05,1285.15,1335.7,258600,1230.48,0.025899781
07-09-2012,1352.15,1352.2,1335.6,1341.15,149900,1235.5,0.004071409
10-09-2012,1334.15,1350,1329.85,1336.6,168700,1231.31,-0.003397103
11-09-2012,1339,1363.75,1330.3,1351.1,263900,1244.67,0.010791791
12-09-2012,1355,1369.7,1351,1356.75,139000,1249.87,0.004169111
13-09-2012,1363.5,1363.5,1335.1,1343.5,159300,1237.67,-0.009808966
14-09-2012,1359.7,1389.8,1350.3,1385.75,356500,1276.59,0.030961881
17-09-2012,1395,1398.8,1363.3,1371.2,202500,1263.18,-0.010560109
18-09-2012,1369.8,1381.75,1360.95,1368.75,183000,1260.93,-0.001782807
20-09-2012,1345,1366.5,1345,1358.35,210400,1251.35,-0.007626575
21-09-2012,1358.8,1389.6,1353.8,1379.5,341200,1270.83,0.015447262
24-09-2012,1375.25,1380.65,1362.8,1367.85,379000,1260.1,-0.008479147
25-09-2012,1365.55,1381,1365.55,1376.6,225100,1268.16,0.006375948
26-09-2012,1377,1437.25,1373.4,1428.3,571900,1315.79,0.036870215
27-09-2012,1430.5,1456,1430.5,1447.75,566300,1333.7,0.013519789
28-09-2012,1452,1477.5,1440.5,1470.05,416800,1354.25,0.015290761
01-10-2012,1465,1484.95,1448,1458,389500,1343.15,-0.008230194
03-10-2012,1467,1475.45,1455.25,1463.85,335500,1348.54,0.004004924
04-10-2012,1472,1545.35,1469.05,1480.7,460000,1364.06,0.011443021
05-10-2012,1485,1488.95,1388.65,1457.65,355600,1342.82,-0.015693666
08-10-2012,1457,1457,1420.25,1431.8,258500,1319.01,-0.017890425
09-10-2012,1439,1449.2,1418.2,1429.75,255500,1317.12,-0.00143392
10-10-2012,1426.8,1447.6,1419.6,1425.1,276600,1312.84,-0.003254805
11-10-2012,1426.3,1450,1423.45,1442.55,495000,1328.91,0.012166328
12-10-2012,1448,1509.9,1420,1498.05,540500,1380.04,0.037753427
15-10-2012,1495.1,1514.4,1485.1,1489.2,270200,1371.89,-0.005923133
16-10-2012,1491.5,1498,1441.7,1445.7,244700,1331.82,-0.029642923
17-10-2012,1451,1458.15,1418.1,1427.65,384500,1315.19,-0.012565286
18-10-2012,1435,1451.95,1406.1,1416.15,1007200,1304.59,-0.008092327
19-10-2012,1419,1435,1397.25,1407.85,1161000,1296.95,-0.005873461
22-10-2012,1407.85,1424,1398.05,1418.65,206500,1306.9,0.007642567
23-10-2012,1416.85,1423.75,1398.25,1404.3,162500,1293.68,-0.01016705
25-10-2012,1406.8,1413.5,1389.75,1401.3,472600,1290.91,-0.002143474
29-10-2012,1404,1420,1404,1414.75,203500,1303.3,0.009552114
30-10-2012,1414.95,1420.6,1375.4,1378.4,240400,1269.82,-0.026024351
31-10-2012,1376.15,1390.8,1365.1,1379.05,222900,1270.42,0.000472396
01-11-2012,1384.95,1399.85,1371.2,1395.1,206100,1285.2,0.011566794
02-11-2012,1406.15,1417.3,1398.95,1408.4,128700,1297.45,0.009486451
05-11-2012,1409,1440,1402.5,1436.55,287300,1323.39,0.019795827
06-11-2012,1434.9,1479.9,1433.1,1473.4,460800,1357.33,0.025322909
07-11-2012,1473,1479.9,1459.15,1472.7,163400,1356.69,-0.000471625
08-11-2012,1461,1487.95,1455.2,1473.4,255200,1357.33,0.000471625
09-11-2012,1478.85,1484,1443.5,1453.25,100500,1338.77,-0.013768253
12-11-2012,1464.6,1464.6,1429,1434.45,132800,1321.45,-0.013021663
15-11-2012,1420.05,1423.25,1389.05,1404.4,154500,1293.77,-0.021169182
16-11-2012,1410.95,1410.95,1369.45,1378.1,132900,1269.54,-0.018905807
19-11-2012,1380,1396.75,1368,1382.65,232200,1273.73,0.003294974
20-11-2012,1385,1393,1351.45,1378.9,295500,1270.28,-0.002712255
21-11-2012,1385.35,1394,1366.6,1384.3,128200,1275.25,0.003904889
22-11-2012,1381.1,1404.9,1381.1,1391.65,151700,1282.02,0.005294721
23-11-2012,1393,1398.5,1372.05,1381.3,93300,1272.49,-0.007461348
26-11-2012,1385,1390.35,1370.8,1382.8,97400,1273.87,0.0010839
27-11-2012,1385,1398,1381,1390.5,199200,1280.96,0.005550286
29-11-2012,1385.1,1409,1385.1,1396.1,406000,1286.12,0.004020137
30-11-2012,1399,1406.3,1375,1383.9,396300,1274.88,-0.008777878
03-12-2012,1392.25,1447.3,1384.6,1435.9,444200,1322.79,0.036891086
04-12-2012,1437,1441,1415,1426.65,220100,1314.27,-0.006461764
05-12-2012,1427.3,1442,1421.25,1431.95,383500,1319.15,0.003706211
06-12-2012,1430.1,1436.9,1401,1418.35,204000,1306.62,-0.00954394
07-12-2012,1425,1438,1410,1414.8,134200,1303.35,-0.002505777
10-12-2012,1414.8,1431.25,1402.55,1413.5,123100,1302.15,-0.000921128
11-12-2012,1416,1454,1416,1427.9,350500,1315.42,0.010139262
12-12-2012,1439,1442,1417,1421.05,169700,1309.11,-0.004808489
13-12-2012,1433,1444.45,1367.15,1396.05,606200,1286.08,-0.017748685
14-12-2012,1403,1412.55,1386,1404.35,344100,1293.72,0.005922957
